Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.44;0.34;0.50;0.50;0.55;0.58;0.55;0.71;0.50;0.39;0.43;0.53;1.76
Price/Earnings;2.54;1.77;7.24;6.40;7.64;8.39;7.80;9.93;1.89;2.86;5.14;6.08;17.62
Price/Cash Flow;—;0.20;—;0.12;0.30;1.06;0.35;—;1.00;—;0.26;1.97;9.46
Price/Book;0.13;0.13;0.14;0.17;0.15;0.16;0.14;0.17;0.08;0.07;0.08;0.12;2.05
Earnings Yield %;39.37;—;—;—;—;11.92;12.82;—;—;—;19.46;23.59;—
Enterprise Value (Mil);914.03;—;—;—;—;586.59;453.32;—;—;—;993.68;613.17;—
