Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;—;—;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;—;—;—;—;—;2.16;5.73;4.63;3.92;3.49;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;-18.48;-32.47;-29.24;—;—;—
Earnings Yield %;—;—;—;—;—;—;-6.64;-2.02;-2.11;-2.48;-3.16;—;—
Enterprise Value (Bil);—;—;—;—;—;—;0.06;0.25;0.76;0.90;1.10;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-16.34;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-16.46;—;—
