Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;16.87;14.26;8.43;4.35;5.09;6.18;48.61;43.23;13.66;1.50
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;11.13
Price/Book;—;—;—;2.58;2.77;3.45;9.53;2.68;5.51;39.89;2.96;10.26;1.87
Earnings Yield %;—;—;—;-22.45;-19.57;-25.80;-13.22;-18.37;-17.77;-1.03;-1.60;-12.99;—
Enterprise Value (Mil);—;—;—;52.07;40.11;32.05;55.26;43.76;62.55;940.23;393.59;179.34;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-13.96;-6.11;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-16.43;-7.29;—
