Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;5.87;4.66;5.60;—;1.50
Price/Earnings;—;—;—;—;—;—;—;—;15.14;12.01;14.45;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;93.57;—;11.13
Price/Book;—;—;—;—;—;—;—;—;2.65;2.10;2.10;—;1.87
Earnings Yield %;—;—;—;—;—;—;—;—;6.61;8.32;6.92;—;—
Enterprise Value (Mil);—;—;—;—;—;—;—;340.00;268.98;204.98;204.98;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;10.52;8.02;8.02;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;10.35;7.89;7.89;—;—
