Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;0.72;0.21;0.23;1.33;0.90;—;0.83
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;22.31
Price/Cash Flow;—;—;—;—;—;—;7.48;13.05;—;2.73;10.19;—;5.62
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;1.27
Earnings Yield %;—;—;—;—;—;—;-25.00;-48.54;-180.56;-17.95;-18.59;—;—
Enterprise Value (Mil);—;—;—;—;—;—;334.60;233.27;187.87;223.34;184.94;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-6.80;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;20.17;24.39;7.91;13.23;7.74;—;—
