Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;2.65;1.48;0.30;0.92;3.05;1.98;—;1.50
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;42.74;—;11.13
Price/Book;—;—;—;—;—;6.22;7.22;1.96;3.94;9.81;7.26;—;1.87
Earnings Yield %;—;—;—;—;—;-11.47;-51.28;-99.91;-18.52;-4.42;-3.33;-35.30;—
Enterprise Value (Mil);—;—;—;—;—;17.44;11.15;4.78;8.55;23.76;15.45;11.20;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-3.67;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;194.54;45.72;—;—
