Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;1.49;—;1.57;2.75;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;12.49;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;5.36;9.08;4.59;7.51;—;17.36
Price/Book;—;—;—;—;—;—;—;0.69;0.92;0.47;0.75;—;4.27
Earnings Yield %;—;—;—;—;—;—;—;-89.68;—;-42.43;-17.77;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;1.57;1.28;0.66;0.69;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;13.14;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;5.56;—;—
