Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;—;—;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;—;—;4.86;2.29;2.62;2.83;7.62;3.27;3.83;4.99;4.18;4.27
Price/Forward Earnings;—;—;—;-4.03;-3.61;—;-4.16;-3.03;-2.64;-6.47;—;—;—
Earnings Yield %;—;—;—;-6.65;-18.29;-32.52;-20.74;-21.20;-37.18;-18.66;-9.34;-27.46;—
Enterprise Value (Mil);—;—;—;31.28;36.51;39.72;83.42;184.03;104.99;194.09;506.30;147.92;—
Enterprise Value/EBIT;—;—;—;4.55;—;—;—;—;—;—;-4.39;-2.75;—
Enterprise Value/EBITDA;—;—;—;4.55;—;—;—;—;—;—;-4.40;-2.75;—
