Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;11.64;11.85;15.37;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;1,146.42;103.35;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;280.18;151.74;241.27;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;29.00;28.69;—;4.27
Earnings Yield %;—;—;—;—;—;—;—;—;-0.25;0.09;0.97;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;2.41;3.57;5.20;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;307.23;417.54;310.84;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;242.70;338.95;280.52;—;—
