Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;41.99;—;—;22.18;11.65;11.39;13.24;23.73;18.46;1.50
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;11.13
Price/Book;—;—;—;1.68;1.70;2.75;2.11;1.77;2.74;18.40;9.79;5.54;1.87
Price/Forward Earnings;—;—;—;-10.67;-6.60;-5.96;-1.99;-2.85;-1.22;-3.22;—;—;—
Earnings Yield %;—;—;—;-18.73;-20.88;-18.18;-34.43;-38.48;-100.39;-41.67;-27.00;-43.22;—
Enterprise Value (Mil);—;—;—;46.49;41.39;63.86;31.42;27.65;17.01;37.89;41.81;39.66;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-2.89;-4.19;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-3.12;-4.56;—
