Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;0.22;0.22;—;—;—;—;0.83;—;1.50
Price/Earnings;—;—;—;—;2.79;2.62;—;—;—;—;8.87;—;24.83
Price/Cash Flow;—;—;—;—;3.76;5.14;—;—;—;—;4.44;—;11.13
Price/Book;—;—;—;—;0.31;0.31;—;—;—;—;1.00;—;1.87
Earnings Yield %;—;—;—;—;35.88;38.23;—;—;—;—;11.27;—;—
Enterprise Value (Bil);—;0.31;0.41;—;0.53;0.83;—;—;—;—;2.45;1.43;—
Enterprise Value/EBIT;—;—;—;—;11.05;14.42;—;—;—;—;35.82;—;—
Enterprise Value/EBITDA;—;—;—;—;8.54;11.56;—;—;—;—;27.35;—;—
