Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;8.81;5.03;13.54;14.34;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;83.50;92.15;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;14.94;—;—;42.53;—;17.36
Price/Book;—;—;—;—;—;—;—;—;2.31;4.07;2.83;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;-4.47;—;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;-23.79;-58.53;1.20;-4.30;—;—
Enterprise Value (Mil);—;—;—;—;—;—;—;97.82;140.27;736.46;641.76;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;46.91;53.25;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;36.75;41.71;—;—
