Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.29;3.15;1.56;1.87;2.59;2.90;3.41;3.30;4.36;4.36;4.85;3.59;1.76
Price/Earnings;5.37;11.47;—;5.48;7.28;6.43;7.98;6.92;8.05;9.85;10.27;9.59;17.62
Price/Cash Flow;0.32;1.62;—;1.29;90.18;2.93;8.00;—;2.41;19.65;2.81;8.41;9.46
Price/Book;0.11;0.45;0.51;0.60;0.64;0.72;0.85;0.71;0.86;0.90;1.05;0.78;2.05
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;11.43;—;—
Earnings Yield %;18.62;—;—;—;—;15.56;12.53;—;—;—;9.74;12.79;—
Enterprise Value (Bil);4.92;—;—;—;—;6.07;6.89;—;—;—;8.52;7.36;—
