Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;3.16;4.42;4.45;4.43;7.62;9.99;8.52;5.97;3.01
Price/Earnings;—;—;—;—;28.29;35.83;34.36;17.70;51.08;51.92;37.64;37.04;25.53
Price/Cash Flow;—;—;—;—;10.22;14.71;14.54;11.40;19.59;23.51;18.49;16.06;17.03
Price/Book;—;—;—;—;5.88;8.11;7.67;6.28;10.98;9.70;7.15;8.40;4.19
Earnings Yield %;—;—;—;—;3.53;2.79;2.91;5.65;1.96;1.93;2.66;3.07;—
Enterprise Value (Bil);—;—;—;—;2.93;3.97;5.09;5.61;9.66;14.54;13.00;7.52;—
Enterprise Value/EBIT;—;—;—;—;36.65;20.09;22.35;21.47;33.71;38.67;27.72;26.59;—
Enterprise Value/EBITDA;—;—;—;—;13.33;11.81;12.88;12.28;19.57;22.81;17.62;15.50;—
