Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;3.16;3.19;4.68;3.76;3.74;2.52;3.61;3.60;3.07
Price/Earnings;—;—;—;—;17.87;14.57;20.25;19.65;10.87;8.98;10.51;14.72;25.84
Price/Cash Flow;—;—;—;—;26.36;28.03;9.74;—;7.31;18.81;13.08;37.48;17.36
Price/Book;—;—;—;—;1.21;1.19;1.69;1.09;1.21;0.79;1.25;1.28;4.27
Earnings Yield %;—;—;—;—;5.60;6.86;4.94;5.09;9.20;11.14;9.51;8.10;—
Enterprise Value (Mil);—;—;—;69.97;116.31;116.50;196.55;277.56;356.79;370.84;455.68;293.22;—
