Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;—;6.87;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;1,218.22;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;54.16;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;13.79;6.21;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;35.84;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;—;0.08;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;—;1.54;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;76.53;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;33.72;—;—
