Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;0.70;0.60;0.80;1.52;—;3.01
Price/Earnings;—;—;—;—;—;—;—;6.45;11.06;—;22.43;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;4.92;3.31;10.30;14.09;—;17.03
Price/Book;—;—;—;—;—;—;—;3.53;2.37;3.64;2.25;—;4.19
Earnings Yield %;—;—;—;—;—;—;—;15.51;9.05;-10.97;-10.54;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;1.49;1.39;1.97;2.84;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;4.54;8.52;—;13.08;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;3.35;4.37;52.91;643.84;—;—
