Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;2.56;4.03;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;62.68;73.04;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;10.68;14.24;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;11.90;24.33;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;1.60;-2.53;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;11.56;15.72;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;39.47;135.54;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;14.44;26.88;—;—
