Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.16;0.36;0.40;2.00;2.22;3.16;3.51;2.94;4.44;—;9.85;12.38;3.07
Price/Earnings;—;—;0.48;36.00;24.08;3.90;4.99;5.44;3.85;2.20;46.83;6.42;25.84
Price/Cash Flow;0.36;3.43;—;—;—;16.37;21.48;25.21;10.70;9.97;6.50;18.97;17.36
Price/Book;—;0.38;0.88;0.83;0.91;0.86;1.01;0.77;0.83;0.51;0.56;0.82;4.27
Earnings Yield %;-90.91;-2.50;209.87;2.78;4.15;25.63;20.04;18.37;26.01;45.41;2.14;26.02;—
Enterprise Value (Bil);1.30;1.21;0.51;0.42;0.37;0.36;0.37;0.34;0.33;0.38;0.37;0.35;—
