Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;3.00;1.44;1.29;2.16;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;26.16;4.53;5.66;13.42;—;17.03
Price/Book;—;—;—;—;—;—;—;5.57;3.39;4.12;8.06;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;40.32;99.01;-7.35;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;-2.34;-5.52;-25.97;-21.74;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;1.28;0.96;0.80;0.91;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;184.46;91.12;—;100.22;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;14.62;9.12;12.82;17.98;—;—
