Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;13.09;4.88;—;—;8.45;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;14.98;—;—;—;13.81;—;17.36
Price/Book;—;—;—;—;1.78;1.30;1.89;1.15;3.01;2.83;1.60;2.00;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;-3.99;-4.81;—;—;—
Earnings Yield %;—;—;—;-5.91;-66.49;-60.00;-11.74;-32.17;-35.55;-27.90;-59.31;-33.09;—
Enterprise Value (Mil);—;—;—;327.60;57.77;11.13;130.62;14.27;237.65;216.47;51.95;138.06;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-0.78;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-0.79;—;—
