Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;3.74;2.33;1.99;6.11;5.48;—;1.76
Price/Earnings;—;—;—;—;—;—;16.81;—;—;—;21.52;—;17.62
Price/Cash Flow;—;—;—;—;—;—;3.34;—;2.29;21.93;22.59;—;9.46
Price/Book;—;—;—;—;—;—;1.24;0.89;1.06;1.83;1.70;—;2.05
Earnings Yield %;—;—;—;—;—;—;5.95;—;—;—;4.65;—;—
Enterprise Value (Mil);—;—;—;—;—;—;650.41;—;—;—;221.39;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;22.25;—;—;—;5.44;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;12.78;—;—;—;3.34;—;—
