Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;9.07;9.55;15.25;8.46;4.76;0.93;—;—;—;0.55;3.14;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;—;—;—;—;—;1.23;0.77;2.10;5.51;5.41;2.28;4.27
Earnings Yield %;—;-21.02;-23.07;-9.12;-12.66;-33.82;-73.56;-116.06;-79.37;-2.76;-4.72;-52.26;—
Enterprise Value (Bil);—;0.51;0.48;1.17;0.98;0.70;0.08;-0.02;0.02;0.08;0.07;0.17;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-0.27;-7.25;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-0.30;-7.57;—
