Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;1.18;1.73;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;30.76;28.36;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;14.66;23.17;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;2.80;3.03;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;17.09;21.01;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;3.25;3.53;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;1.21;1.59;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;20.30;20.91;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;15.71;16.80;—;—
