Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;1.20;1.27;1.02;1.28;—;1.50
Price/Earnings;—;—;—;—;—;—;—;8.17;25.77;24.88;35.43;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;5.16;19.58;7.60;6.96;—;11.13
Price/Book;—;—;—;—;—;—;—;1.77;1.59;1.20;1.36;—;1.87
Earnings Yield %;—;—;—;—;—;—;—;12.24;3.88;4.02;2.82;—;—
Enterprise Value (Mil);—;—;—;—;—;—;—;62.97;63.50;57.71;60.05;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;7.53;25.07;24.82;34.95;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;7.53;9.59;8.21;9.48;—;—
