Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;0.28;0.07;0.13;0.18;0.13;0.03;0.22;0.12;0.13;1.76
Price/Earnings;—;—;—;11.26;22.50;—;—;—;—;—;3.24;—;17.62
Price/Cash Flow;—;—;—;3.43;—;1.64;3.01;—;0.23;5.35;3.39;5.37;9.46
Price/Book;—;—;—;0.97;0.24;0.43;0.70;0.65;0.48;—;0.29;0.65;2.05
Earnings Yield %;—;—;—;—;—;-33.26;-58.17;—;—;—;30.90;-136.44;—
Enterprise Value (Bil);—;—;—;—;—;0.32;0.30;—;—;—;1.17;0.67;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;13.54;-1.24;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;9.36;24.42;—
