Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;0.30;0.29;0.29;0.25;0.33;0.33;0.51;0.44;0.52;0.55;0.55;0.45;1.76
Price/Earnings;15.84;25.03;31.54;29.00;9.80;10.93;14.28;16.28;20.27;26.29;15.86;17.14;17.62
Price/Cash Flow;3.41;3.79;7.99;5.63;3.79;5.14;9.18;18.34;8.04;4.58;3.72;7.34;9.46
Price/Book;0.77;0.81;1.02;0.84;0.96;0.93;1.46;1.28;1.49;1.54;1.43;1.24;2.05
Earnings Yield %;6.31;—;—;—;—;9.15;7.00;—;—;—;6.31;6.65;—
Enterprise Value (Bil);0.53;—;—;—;—;0.67;0.90;—;—;—;1.19;0.93;—
Enterprise Value/EBIT;8.74;—;—;—;—;7.62;10.71;—;—;—;10.31;11.54;—
Enterprise Value/EBITDA;3.87;—;—;—;—;4.35;6.11;—;—;—;3.53;4.78;—
