Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;3.26;3.12;0.53;1.33;0.80;1.78;1.26;1.44;1.09;1.76
Price/Earnings;—;—;—;8.29;7.94;—;—;—;22.70;5.02;3.85;6.11;17.62
Price/Cash Flow;—;—;—;9.20;8.82;0.79;7.62;—;8.14;2.72;3.56;6.98;9.46
Price/Book;—;—;—;0.95;0.86;0.49;0.42;0.24;0.97;0.75;0.73;0.48;2.05
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;5.56;—;—
Earnings Yield %;—;—;—;—;—;-9.21;-81.82;—;—;—;25.96;-10.01;—
Enterprise Value (Bil);—;—;—;—;—;5.06;4.85;—;—;—;5.57;5.23;—
Enterprise Value/EBIT;—;—;—;—;—;94.46;—;—;—;—;7.01;8.08;—
Enterprise Value/EBITDA;—;—;—;—;—;12.39;—;—;—;—;4.78;183.50;—
