Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;2.80;2.42;2.54;2.42;3.30;2.55;2.93;2.50;2.72;3.24;3.71;2.82;1.76
Price/Earnings;10.78;7.73;9.99;6.30;14.71;7.93;12.64;6.60;6.84;8.88;10.62;8.69;17.62
Price/Cash Flow;—;—;6.15;8.18;1.60;—;1.95;—;1.22;—;1.49;3.34;9.46
Price/Book;0.67;0.61;0.61;0.65;0.64;0.60;0.59;0.59;0.68;0.59;0.64;0.60;2.05
Earnings Yield %;9.28;—;—;—;—;12.60;7.91;—;—;—;9.41;11.95;—
Enterprise Value (Bil);0.94;—;—;—;—;1.10;1.35;—;—;—;1.67;1.49;—
