Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;3.26;2.55;—;1.76
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;17.62
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;9.46
Price/Book;—;—;—;—;—;—;—;—;—;3.26;2.07;—;2.05
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;35.09;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;—;-1.85;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;—;8.94;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;86.73;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;17.00;—;—
