Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;2.32;2.01;1.91;3.17;3.77;—;1.50
Price/Earnings;—;—;—;—;—;—;—;—;—;81.85;61.26;—;24.83
Price/Cash Flow;—;—;—;—;—;—;105.82;100.89;—;—;95.58;—;11.13
Price/Book;—;—;—;—;—;—;6.72;1.55;1.75;3.16;3.79;—;1.87
Earnings Yield %;—;—;—;—;—;—;-2.34;-3.59;-2.07;1.22;1.63;—;—
Enterprise Value (Mil);—;—;—;—;—;—;10.35;4.75;7.94;18.21;23.28;13.42;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;267.18;112.55;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;61.96;48.87;—;—
