Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;0.34;0.58;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;—;56.83;46.05;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;—;—;4.79;8.99;—;17.03
Price/Book;—;—;—;—;—;—;—;—;—;4.30;2.62;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;8.66;13.66;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;1.76;-5.86;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;6.91;6.56;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;8.31;142.66;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;4.69;14.55;—;—
