Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;1.50;1.99;—;3.01
Price/Earnings;—;—;—;—;—;—;—;315.33;91.92;—;74.79;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;—;196.17;279.60;19.55;—;17.03
Price/Book;—;—;—;—;—;—;—;1.26;1.40;17.18;13.09;—;4.19
Earnings Yield %;—;—;—;—;—;—;—;0.32;1.09;-4.82;1.34;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;0.68;0.76;8.38;11.05;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;47.86;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;25.36;—;—
