Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;214.34;22.38;16.84;12.39;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;—;—;—;—;—;—;2.31;1.50;2.51;2.11;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;-3.38;-1.34;-5.03;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;-29.92;-111.95;-48.72;-38.94;—;—
Enterprise Value (Mil);—;—;—;—;—;—;—;103.85;16.40;48.72;32.22;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-7.56;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-7.57;—;—
