Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;—;—;—;1.50
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;11.13
Price/Book;—;—;—;—;—;—;—;3.36;1.04;9.56;4.53;—;1.87
Earnings Yield %;—;—;—;—;—;—;-6.43;-6.19;-63.53;-7.73;-11.39;—;—
Enterprise Value (Mil);—;—;—;—;—;—;48.04;41.31;3.93;68.57;41.04;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-9.77;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-9.86;—;—
