Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;0.82;0.64;1.46;0.82;1.38;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;25.94;20.34;—;48.87;13.48;—;17.36
Price/Book;—;—;—;—;—;—;0.52;0.75;0.72;0.41;0.64;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;42.92;—;—;—;—
Earnings Yield %;—;—;—;—;—;—;-243.26;-310.27;-27.96;-65.86;-42.53;—;—
Enterprise Value (Mil);—;—;—;—;—;—;525.61;689.24;845.16;415.20;540.83;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;-1.42;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;-2.01;—;—
