Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;0.41;0.37;0.71;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;8.14;25.73;26.84;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;—;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;-19.08;-4.13;—;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;-32.17;-65.45;-53.54;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;8.01;7.22;7.84;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;36.55;—;0.12;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;15.25;84.07;85.00;—;—
