Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;1.20;1.07;0.97;0.63;1.06;1.04;1.06
Price/Earnings;—;—;—;—;—;—;8.89;9.90;9.37;—;8.43;9.92;22.79
Price/Cash Flow;—;—;—;—;—;—;2.52;2.49;3.04;4.30;5.21;3.21;6.13
Price/Book;—;—;—;—;—;—;1.43;1.23;1.07;0.64;1.02;—;1.77
Earnings Yield %;6.67;—;—;—;—;—;11.25;10.10;10.67;-2.20;-25.95;—;—
Enterprise Value (Mil);—;—;—;—;—;—;55.28;18.13;37.51;2.71;26.58;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;3.08;1.19;2.28;0.47;2.63;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;1.32;0.47;1.06;0.09;2.44;—;—
