Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;0.75;0.97;1.16;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;5.19;40.52;56.07;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;—;6.50;9.88;6.94;—;17.03
Price/Book;—;—;—;—;—;—;—;—;1.72;—;1.72;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;—;31.95;31.95;32.26;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;19.27;2.47;1.78;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;0.83;1.60;1.80;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;5.13;9.74;12.71;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;4.44;8.44;9.74;—;—
