Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;—;4.87;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;46.33;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;—;3.17;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;—;59.17;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;—;-0.40;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;—;7.26;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;86.13;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;—;44.68;—;—
