Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;43.82;3.38;21.75;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;—;—;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;17.36
Price/Book;—;—;—;—;1.80;0.69;1.44;0.39;0.61;1.33;1.53;1.09;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;-2.30;-1.87;—;—;—
Earnings Yield %;—;—;—;—;-16.15;-119.07;-58.00;-266.29;-202.16;-71.91;-53.38;-137.64;—
Enterprise Value (Mil);—;—;—;—;129.82;-16.90;28.52;-22.99;-8.08;12.11;27.54;5.98;—
