Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;6.60;3.71;3.71;2.70;3.70;—;3.07
Price/Earnings;—;—;—;—;—;—;22.04;9.76;11.32;9.55;12.06;—;25.84
Price/Cash Flow;—;—;—;—;—;—;36.21;—;1.32;1.06;2.99;—;17.36
Price/Book;—;—;—;—;—;—;1.67;1.19;1.06;0.71;1.06;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;9.21;8.84;9.12;—;—
Earnings Yield %;—;—;—;—;—;—;4.54;10.24;8.83;10.47;8.29;8.95;—
Enterprise Value (Mil);—;—;—;—;—;—;485.38;614.53;572.65;609.46;823.26;582.18;—
