Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;2.70;1.16;1.20;0.98;—;1.50
Price/Earnings;—;—;—;—;—;—;—;—;35.87;37.16;30.20;—;24.83
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;11.13
Price/Book;—;—;—;—;—;—;—;2.90;1.45;1.69;1.38;—;1.87
Earnings Yield %;—;—;—;—;—;—;—;-35.67;2.79;2.69;3.31;—;—
Enterprise Value (Mil);—;—;—;—;—;—;—;105.74;103.08;134.38;120.56;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;33.14;59.79;77.94;69.93;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;24.14;24.85;32.40;29.06;—;—
