Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;1.59;0.54;0.45;0.41;0.70;—;3.07
Price/Earnings;—;—;—;—;—;—;—;40.64;2.65;—;1.22;—;25.84
Price/Cash Flow;—;—;—;—;—;—;2.22;1.28;1.58;3.54;6.01;—;17.36
Price/Book;—;—;—;—;—;—;0.51;0.28;0.24;0.17;0.26;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;6.66;3.35;4.13;3.36;3.65;—;—
Earnings Yield %;—;—;—;—;—;—;-41.19;2.46;37.68;-28.01;-144.97;3.30;—
Enterprise Value (Bil);—;—;—;—;—;—;8.94;5.40;4.24;0.98;3.30;4.44;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;1.84;—;0.20;—;—
