Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;4.13;2.67;2.79;2.25;3.07;—;3.01
Price/Earnings;—;—;—;—;—;—;8.94;25.24;12.71;14.71;15.46;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;10.51;25.10;29.30;8.76;—;17.03
Price/Book;—;—;—;—;—;—;1.50;0.98;1.03;0.76;1.11;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;20.88;11.34;13.68;15.15;12.80;—;—
Earnings Yield %;—;—;—;—;—;—;11.19;3.96;7.87;6.80;6.47;6.77;—
Enterprise Value (Bil);—;—;—;—;—;—;0.95;1.08;1.30;0.93;1.32;1.12;—
