Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;10.99;8.26;5.18;5.98;5.03;8.47;7.53;1.48
Price/Earnings;—;—;—;—;—;—;—;—;—;—;3.97;—;14.44
Price/Cash Flow;—;—;—;—;—;—;—;—;—;—;—;—;7.33
Price/Book;—;—;—;—;1.41;1.71;1.38;1.26;1.32;1.15;1.20;1.36;1.51
Earnings Yield %;—;—;—;—;—;-8.36;-22.00;-43.80;-9.69;-5.85;25.20;-16.12;—
Enterprise Value (Mil);—;—;—;—;320.13;449.49;376.36;257.31;260.39;242.52;374.46;333.90;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;—;3.97;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;2,425.23;3.75;—;—
