Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;5.97;7.44;10.20;9.65;6.29;6.78;6.27;9.53;7.69;3.01
Price/Earnings;—;—;—;16.75;21.31;25.21;23.99;14.16;14.11;13.66;19.75;17.84;25.53
Price/Cash Flow;—;—;—;13.17;17.25;21.40;20.58;11.26;13.14;12.20;17.81;15.13;17.03
Price/Book;—;—;—;2.32;2.87;3.88;3.73;2.50;2.49;2.29;3.57;2.93;4.19
Earnings Yield %;—;—;—;5.97;4.69;3.97;4.17;7.06;7.09;7.32;5.06;6.04;—
Enterprise Value (Bil);—;—;—;0.88;1.29;2.03;2.25;1.76;2.08;2.24;3.74;2.12;—
