Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;1.96;1.93;—;3.07
Price/Earnings;—;—;—;—;—;—;—;—;—;18.47;15.31;—;25.84
Price/Cash Flow;—;—;—;—;—;—;—;—;—;15.59;10.90;—;17.36
Price/Book;—;—;—;—;—;—;—;—;—;4.06;3.87;—;4.27
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;15.08;15.80;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;5.41;6.53;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;8.34;8.39;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;13.70;13.96;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;11.77;11.96;—;—
