Calendar;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;Current;5-Yr;Index
Price/Sales;—;—;—;—;—;—;—;—;—;0.33;0.65;—;3.01
Price/Earnings;—;—;—;—;—;—;—;—;—;8.91;8.01;—;25.53
Price/Cash Flow;—;—;—;—;—;—;—;—;—;1.78;3.49;—;17.03
Price/Book;—;—;—;—;—;—;—;—;—;1.88;2.97;—;4.19
Price/Forward Earnings;—;—;—;—;—;—;—;—;—;8.29;9.42;—;—
Earnings Yield %;—;—;—;—;—;—;—;—;—;11.22;12.48;—;—
Enterprise Value (Bil);—;—;—;—;—;—;—;—;—;3.67;5.31;—;—
Enterprise Value/EBIT;—;—;—;—;—;—;—;—;—;11.10;8.17;—;—
Enterprise Value/EBITDA;—;—;—;—;—;—;—;—;—;8.36;7.05;—;—
